entity;occur;06/2015;02/2015;01/2016;12/2015;07/2014;06/2014;11/2015;06/2017;08/2016;11/2014;09/2014;08/2014;10/2015;02/2014;12/2016;09/2015;05/2016;04/2016;03/2016;05/2014;01/2017;02/2017;05/2017;03/2017;07/2017;11/2016;09/2016;02/2016;04/2017;03/2015;06/2016;01/2014;10/2016;12/2014;10/2014;03/2014;04/2014;07/2016;01/2015;04/2015;07/2015;05/2015;08/2015
Facebook;1299;None;None;0.129386;None;None;None;None;0.007826999999999999;None;None;None;None;None;0.008189;None;0.0734850495049505;0.014746;0.06929600000000001;None;0.03284;0.050713;None;0.08486;None;0.074784;0.07169400000000001;0.060774;0.040242;None;0.06766;None;0.063787;None;None;None;None;0.03559058823529412;None;None;None;None;None
Thursday;1284;None;None;-0.04723;None;None;None;None;0.003159;None;None;None;None;None;-0.011687999999999999;None;0.020715;0.001925;-0.035233;None;-0.055937;-0.023724000000000002;None;0.012617;None;0.004404;0.016222;0.014069;-0.011811;None;-0.037725999999999996;None;0.049255;None;None;None;None;-0.026242;None;None;None;None;None
Friday;1274;None;None;0.083857;None;None;None;None;0.027808999999999997;None;None;None;None;None;0.04955;None;-0.014242;-0.038075;-0.066615;None;0.044414999999999996;0.035816;None;0.084247;None;0.098567;-0.001225;-0.036967;0.088102;None;-0.013183000000000002;None;-0.017361;None;None;None;None;0.019466;None;None;None;None;None
the New York Times;1256;None;None;-0.013287;None;None;None;None;0.002977;None;None;None;None;None;0.007776;None;-0.004005352112676056;-0.00433715625;-0.007922;None;0.01435;-0.0035554193548387094;None;0.0013735438596491228;None;-0.029408999999999998;0.041606019999999994;0.003857;-0.026391083333333332;None;-0.0007996721311475417;None;-0.016687999999999998;None;None;None;None;0.010700140845070422;None;None;None;None;None
3;1239;None;None;-0.158179;None;None;None;None;0.025699;None;None;None;None;None;0.017238999999999997;None;-0.029286000000000003;0.031049;0.033356;None;-0.047898;-0.016116;None;0.041895999999999996;None;-0.00103;-0.012643000000000001;-0.007393;0.011342;None;0.035321;None;-0.004025;None;None;None;None;-0.020188;None;None;None;None;None
Europe;1230;None;None;-0.11049;None;None;None;None;-0.043549000000000004;None;None;None;None;None;-0.034061;None;-0.052105;-0.0948;-0.015141;None;-0.001023;0.027916000000000003;None;0.010001999999999999;None;0.030804;0.011833;0.067118;0.017414;None;0.051734;None;0.065829;None;None;None;None;0.051585;None;None;None;None;None
last year;1196;None;None;-0.108232;None;None;None;None;0.022462;None;None;None;None;None;-0.035033999999999996;None;-0.024822;-0.074505;-0.05114;None;0.018631;0.025998;None;0.005429;None;-0.024556;-0.013553;-0.02344;0.029285000000000002;None;-0.017621;None;0.04095;None;None;None;None;-0.043261;None;None;None;None;None
Wednesday;1184;None;None;0.0;None;None;None;None;-0.014034;None;None;None;None;None;0.035651;None;-0.014147;0.027052;0.00215;None;0.00526;0.040541;None;-0.022813;None;0.038063;-0.014055000000000002;-0.03818;0.0058;None;-0.011106;None;0.026167000000000003;None;None;None;None;0.014563;None;None;None;None;None
night;1182;None;None;-0.056277999999999995;None;None;None;None;-0.002194;None;None;None;None;None;0.041673;None;-0.029910000000000003;0.038812;0.001017;None;0.00372;0.021234;None;0.023266;None;-0.024405;-0.033844;-0.005974;0.04576;None;0.034804;None;-0.002349;None;None;None;None;0.017148;None;None;None;None;None
Twitter;1174;None;None;0.014667;None;None;None;None;0.02118;-0.008617;None;None;None;None;None;0.005752;None;-0.0022429999999999998;-0.090935;-0.018675;None;0.024928782608695653;0.0022010000000000003;None;0.07438;None;0.025240000000000002;0.030614;0.10365;0.031132;None;0.028611;None;0.051555234042553195;None;None;None;None;0.0021260000000000003;None;None;None;None;None
Iraq;1147;None;None;-0.161688;None;None;None;None;-0.132889;None;None;None;None;None;-0.151052;None;-0.120199;-0.097486;-0.161468;None;-0.121208;-0.05570599999999999;None;-0.131247;None;-0.10747000000000001;-0.20835399999999998;-0.0649;-0.133982;None;-0.132692;None;-0.08468300000000001;None;None;None;None;-0.287011;None;None;None;None;None
this year;1130;None;None;0.154064;None;None;None;None;0.031298;None;None;None;None;None;0.056701999999999995;None;0.009606;0.024340999999999998;-0.030545999999999997;None;-0.017488999999999998;0.148102;None;0.045226999999999996;None;0.062338;0.068989;0.102525;-0.036316;None;-0.035766;None;0.040587;None;None;None;None;0.063455;None;None;None;None;None
five;1126;None;None;0.063033;None;None;None;None;-0.12003299999999999;None;None;None;None;None;0.045351;None;0.07319500000000001;-0.020932;0.053628999999999996;None;0.019293;0.08985900000000001;None;0.013909999999999999;None;0.003406;-0.08680299999999999;0.024562;0.033931;None;-0.01766;None;-0.011955;None;None;None;None;-0.156172;None;None;None;None;None
Court;1109;None;None;0.12228499999999999;None;None;None;None;0.308596;None;None;None;None;None;0.398673;None;0.280607;0.245092;0.177155;None;0.267863;0.303371;None;0.353954;None;0.310893;0.24230700000000002;0.263;0.277917;None;0.19091;None;0.343366;None;None;None;None;0.443615;None;None;None;None;None
2013;1106;None;None;-0.070517;None;None;None;None;0.006148;None;None;None;None;None;0.022639;None;-0.043297;0.012651;-0.040197000000000004;None;0.006492;-0.030857;None;-0.001454;None;-0.009235;-0.032147;-0.055033000000000006;-0.034765;None;0.024605000000000002;None;0.009675;None;None;None;None;-0.03847;None;None;None;None;None
muslim;1101;None;None;-0.028482;None;None;None;None;-0.043437;None;None;None;None;None;-0.051098000000000005;None;-0.088374;-0.01138;-0.07588400000000001;None;-0.109046;-0.05191799999999999;None;-0.09625800000000001;None;-0.065834;-0.040106;0.16114;-0.097584;None;-0.028125999999999998;None;-0.031216000000000004;None;None;None;None;-0.195167;None;None;None;None;None
FBI;1096;None;None;-0.040652999999999995;None;None;None;None;-0.042998;None;None;None;None;None;0.06665;None;0.016475;-0.065837;0.031113;None;0.034614;-0.015313;None;-0.010879999999999999;None;-0.042051;-0.024328;0.042587;-0.029455000000000002;None;-0.043538;None;-0.013831;None;None;None;None;0.061064;None;None;None;None;None
